kernel_name	json_path	matched	missed	printf('%.4f%%', percent)	total	json_sha256
kernelcache.release.vphone600	research/kernel_info/json/kernelcache.release.vphone600.bin.symbols.json	4327	1398	75.5808%	5725	03426d6f6ca219777a9b8c66a3a12e000b2fe175b92ede318b2286ad180d8fe9
kernelcache.research.vphone600	research/kernel_info/json/kernelcache.research.vphone600.bin.symbols.json	4327	1398	75.5808%	5725	b6e710db56126b101964089ccfaa204247cec5460a66b567e2102709c76b38e8
